"--- BEREICH: 100 BLÖCKE (BTC 948835 bis 948935) | BTC $81086.0, STX $0.263787 ---"
BTC-Addr,STX-Addr,Commits,BTC-Total,STX-Gain,Profit $,Slot Win,Market Share,STX Share %,Multi-Blocks,Efficiency,Luck,ROI
--- Gruppe: SP30 + SP8K ---,Wins: 119/131.5,783,0.231484,73122.09,$518.51,26.31%,Mkt: 28.9%,STX: 28.1%,20,Eff: 0.97,L: 0.90,2.76%
STRATEGIE,Leere Blöcke: 45 / 500,Net-Aktivität: 91.0%,,,Net-Limit:,153810 Sats,,,,,,

"--- BEREICH: 1000 BLÖCKE (BTC 947935 bis 948935) | BTC $81086.0, STX $0.263787 ---"
BTC-Addr,STX-Addr,Commits,BTC-Total,STX-Gain,Profit $,Slot Win,Market Share,STX Share %,Multi-Blocks,Efficiency,Luck,ROI
bc1qc86e5rpn2f2m6d76tzeq7hmz53cx08hqw8uhl7,SP30ZB6GC6D95BF9QV9CB43TZCAJ70SWYW08YZEZA,745,0.281938,114863.92,7438.36,16.52%,17.98%,21.89%,34,1.22,1.10,32.54%
bc1qxlne4qmmgpc6rlrvrdyjprnay9q6ykg98gz2j3,SPVYF6M3FD0738FWDGDMJ84EFMGM38JS0N7DE42K,916,0.284571,102232.19,3892.77,17.98%,19.57%,19.48%,24,1.00,0.96,16.87%
12H9DtpmYh9XyCDE9kDYZ14KpgEAQwoZt1,SP70B98HWSFY2M7JB6V6P563TR3JSBWW3S43GS8M,910,0.264337,94696.06,3545.53,16.11%,17.53%,18.05%,20,1.03,0.99,16.54%
bc1qv8p2vzxsmc7042cahsu73c79hvfufq52q9n69r,SP1GW59G8T3F3SYNB3PY3KT73RPXH7H42HBCGR8M7,910,0.278606,89797.89,1096.45,17.09%,18.59%,17.11%,22,0.92,0.85,4.85%
bc1qzyccvth6gnlv7d3t67dwrswyxuffcrjqumwcwv,SP8K31HEZ92FXKSP5FBSNRE1RGVH570E80X4M1K2,731,0.131880,41952.26,372.81,7.80%,8.49%,8.00%,8,0.94,0.91,3.49%
